URL,Complex Name,Address
https://www.apartments.com/maa-220-riverside-jacksonville-fl/8v1dqh2/,MAA 220 Riverside,"220 Riverside Ave, Jacksonville, FL 32202"
https://www.apartments.com/the-preserve-luxury-apartments-jacksonville-fl/m5zgyll/,The Preserve Luxury Apartments,"780 Island Point Dr, Jacksonville, FL 32218"
https://www.apartments.com/vue-at-baymeadows-jacksonville-fl/hpz9gn0/,Vue at Baymeadows,"8335 Freedom Crossing Trl, Jacksonville, FL 32256"
https://www.apartments.com/jaxbay-apartments-jacksonville-fl/g6dfhxz/,JaxBay Apartments,"3857 Pritmore Rd, Jacksonville, FL 32257"
https://www.apartments.com/riverbank-apartments-jacksonville-fl/yfbkhsv/,Riverbank Apartments,"1591 S Lane Ave, Jacksonville, FL 32210"
https://www.apartments.com/oasis-of-mandarin-jacksonville-fl/3p4thbg/,Oasis of Mandarin,"3355 Claire Ln, Jacksonville, FL 32223"
https://www.apartments.com/pier-5350-jacksonville-fl/tpgyv3b/,Pier 5350,"5350 Arlington Expy, Jacksonville, FL 32211"
https://www.apartments.com/auburn-glen-apartments-jacksonville-fl/17sx8l5/,Auburn Glen Apartments,"8024 Southside Blvd, Jacksonville, FL 32256"
https://www.apartments.com/rosemont-st-johns-jacksonville-fl/d2r6z7j/,Rosemont St Johns,"12310 Seacrest Ln, Jacksonville, FL 32224"
https://www.apartments.com/bentley-green-apartment-homes-jacksonville-fl/sh49236/,Bentley Green Apartment Homes,"8214 Princeton Square Blvd E, Jacksonville, FL 32256"
https://www.apartments.com/citigate-apartments-jacksonville-fl/0gpqft0/,Citigate Apartments,"8451 Gate Pky W, Jacksonville, FL 32216"
https://www.apartments.com/westland-park-jacksonville-fl/k361qlc/,Westland Park,"6710 Collins Rd, Jacksonville, FL 32244"
https://www.apartments.com/renaissance-at-strawberry-creek-jacksonville-fl/hb236b3/,Renaissance at Strawberry Creek,"7557 Arlington Expy, Jacksonville, FL 32211"
https://www.apartments.com/pickwick-flats-jacksonville-fl/6k8zhmv/,Pickwick Flats,"3580 Pall Mall Dr, Jacksonville, FL 32257"
https://www.apartments.com/marco-meadows-jacksonville-fl/059pn42/,Marco Meadows,"1706 Art Museum Dr, Jacksonville, FL 32207"
https://www.apartments.com/the-enclave-jacksonville-fl/8z2bdq3/,The Enclave,"13300 Atlantic Blvd, Jacksonville, FL 32225"
https://www.apartments.com/timucuan-lakeside-at-town-center-jacksonville-fl/crzqywg/,Timucuan Lakeside at Town Center,"10135 Gate Pky N, Jacksonville, FL 32246"
https://www.apartments.com/the-four-jacksonville-fl/lvlsprf/,The Four,"4870 E Deer Lake Dr, Jacksonville, FL 32246"
https://www.apartments.com/palms-at-beacon-pointe-jacksonville-fl/be17lxb/,Palms at Beacon Pointe,"1251 Beacon Point Dr, Jacksonville, FL 32246"
https://www.apartments.com/rivervue-avondale-jacksonville-fl/t0r85qc/,Rivervue Avondale,"3946 Saint Johns Ave, Jacksonville, FL 32205"
https://www.apartments.com/coquina-bay-jacksonville-fl/rccww03/,Coquina Bay,"3709 S San Pablo Rd S, Jacksonville, FL 32224"
https://www.apartments.com/seagrass-apartment-homes-jacksonville-fl/zgf299x/,Seagrass Apartment Homes,"1701 San Pablo Rd S, Jacksonville, FL 32224"
https://www.apartments.com/one-at-mandarin-jacksonville-fl/1hjwy97/,One at Mandarin,"4295 Sunbeam Rd, Jacksonville, FL 32257"
https://www.apartments.com/the-marley-at-trout-river-jacksonville-fl/c64ev7g/,The Marley at Trout River,"800-900 Broward Rd, Jacksonville, FL 32218"
https://www.apartments.com/maa-deerwood-jacksonville-fl/3c5kdjg/,MAA Deerwood,"10100 Baymeadows Rd, Jacksonville, FL 32256"
https://www.apartments.com/the-park-at-trapani-jacksonville-fl/c0660zd/,The Park at Trapani,"8401 Southside Blvd, Jacksonville, FL 32256"
https://www.apartments.com/links-at-windsor-parke-jacksonville-fl/82hknk0/,Links at Windsor Parke,"13700 Sutton Park Dr N, Jacksonville, FL 32224"
https://www.apartments.com/maa-belmont-jacksonville-fl/7n491dw/,MAA Belmont,"3900 Old Field Crossing Dr, Jacksonville, FL 32223"
https://www.apartments.com/maa-atlantic-jacksonville-fl/dgcv8pj/,MAA Atlantic,"1715 Hodges Blvd, Jacksonville, FL 32224"
https://www.apartments.com/kendall-lake-apartments-jacksonville-fl/rxr36v1/,Kendall Lake Apartments,"1140 Kendall Town Blvd, Jacksonville, FL 32225"
https://www.apartments.com/eddison-at-deerwood-park-jacksonville-fl/g5hql5y/,Eddison at Deerwood Park,"4435 Touchton Rd E, Jacksonville, FL 32246"
https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,Coventry Park Apartments,"6650 Corporate Center Pky, Jacksonville, FL 32216"
https://www.apartments.com/vintage-grove-apartments-jacksonville-fl/6snzwzr/,Vintage Grove Apartments,"5262 Timuquana Rd, Jacksonville, FL 32210"
