,Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location,Longitude,Latitude
35,35,Lucia,2599.0,Unit 14145,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
36,36,Lucia,2599.0,Unit 14146,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
37,37,Lucia,2599.0,Unit 14149,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
38,38,Lucia,2599.0,Unit 14150,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
39,39,Lucia,2599.0,Unit 14155,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
40,40,Lucia,2599.0,Unit 14106,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
41,41,Lucia,2599.0,Unit 14110,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
42,42,Lucia,2599.0,Unit 14112,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
43,43,Lucia,2599.0,Unit 14116,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
44,44,Lucia,2599.0,Unit 12610,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
45,45,Lucia,2599.0,Unit 12612,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
46,46,Lucia,2599.0,Unit 14105,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
47,47,Lucia,2599.0,Unit 14111,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
48,48,Lucia,2599.0,Unit 14115,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
49,49,Lucia,2599.0,Unit 14156,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
50,50,Bella,2208.0,Unit 14138,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
51,51,Bella,2650.0,Unit 14124,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
52,52,Bella,2650.0,Unit 14157,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
53,53,Bella,2650.0,Unit 14158,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
54,54,Bella,2650.0,Unit 14118,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
55,55,Bella,2650.0,Unit 14143,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
56,56,Bella,2675.0,Unit 14117,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
57,57,The Forsyth,1157.0,Unit 1505,593.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
58,58,The Forsyth,1174.0,Unit 1105,593.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
59,59,The Riverside,1284.0,Unit 1003,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
60,60,The Riverside,1284.0,Unit 1103,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
61,61,The Riverside,1284.0,Unit 1203,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
62,62,The Riverside,1284.0,Unit 0803,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
63,63,The LaVilla,1349.0,Unit 1001,632.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
64,64,The LaVilla,1349.0,Unit 1101,632.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
65,65,The LaVilla,1334.0,Unit 0801,632.0,May 4,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
66,66,The Springfield,1424.0,Unit 1702,665.0,Mar 4,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)",,3.0
