Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address
Mangrove(1 Bed 1 Bath),850.0,Unit 806,884.0,May 12,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Mangrove (Fully Renovated),1080.0,Unit 1403,884.0,Now,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Mangrove (Fully Renovated),1080.0,Unit 1407,884.0,Now,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Mangrove (Fully Renovated),1080.0,Unit 1411,884.0,Now,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 701,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 206,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 1215,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 301,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 102,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 101,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 704,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (2 bed 2 bath),1025.0,Unit 1208,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (Fully Renovated),1399.0,Unit 1401,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (Fully Renovated),1399.0,Unit 1404,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Maple (Fully Renovated),1399.0,Unit 1409,1230.0,Now,2.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Bald Cypress (3 bed 2 bath),1399.0,Unit 902,1538.0,Feb 28,3.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Bald Cypress (3 bed 2 bath),1399.0,Unit 103,1538.0,Now,3.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Bald Cypress (3 bed 2 bath),1399.0,Unit 324,1538.0,Now,3.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Bald Cypress (3 bed 2 bath),1624.0,Unit 1101,1538.0,Now,3.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Bald Cypress (3 bed 2 bath),1399.0,Unit 316,1538.0,Mar 22,3.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Bald Cypress (3 bed 2 bath),1399.0,Unit 116,1538.0,Mar 26,3.0,2 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
1 Bed 1 Bath,1249.0,Unit 1021,775.0,Now,1.0,1 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
1 Bed 1 Bath,1299.0,Unit 713,775.0,Now,1.0,1 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
1 Bed 1 Bath,1299.0,Unit 703,775.0,Now,1.0,1 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
2 Bed 2 Bath,1449.0,Unit 308,1007.0,Now,2.0,2 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
2 Bed 2 Bath,1449.0,Unit 317,1007.0,Mar 11,2.0,2 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
2 Bed 2 Bath,1319.0,Unit 1001,1007.0,Mar 26,2.0,2 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
3 Bed 2 Bath,1599.0,Unit 1202,1305.0,Now,3.0,2 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
3 Bed 2 Bath,1599.0,Unit 917,1305.0,Apr 12,3.0,2 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
3 Bed 2 Bath,1599.0,Unit 818,1305.0,Apr 30,3.0,2 ,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221"
The Cloverleaf,2238.0,Unit 1308,836.0,Now,1.0,1 ,Coventry Park Apartments,https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,"6650 Corporate Center Pky, Jacksonville, FL 32216"
The Fairway,1684.0,Unit 0418,1109.0,Now,2.0,2 ,Coventry Park Apartments,https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,"6650 Corporate Center Pky, Jacksonville, FL 32216"
The Fairway,1684.0,Unit 1515,1109.0,Now,2.0,2 ,Coventry Park Apartments,https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,"6650 Corporate Center Pky, Jacksonville, FL 32216"
The Fairway,1684.0,Unit 0807,1109.0,Now,2.0,2 ,Coventry Park Apartments,https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,"6650 Corporate Center Pky, Jacksonville, FL 32216"
The Fairway,1684.0,Unit 0620,1109.0,Now,2.0,2 ,Coventry Park Apartments,https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,"6650 Corporate Center Pky, Jacksonville, FL 32216"
